Designator,Footprint,Quantity,Value,LCSC Part #
A1,RaspberryPi_Pico_Common_Unspecified,1,RaspberryPi_Pico,
BT1,BatteryHolder_Keystone_1042_1x18650,1,Battery_Cell,
"C1, C2, C3",0805,3,10uF,
J1,PinSocket_1x04_P2.54mm_Vertical,1,DISPLAY_HEADER,
J2,PinSocket_1x01_P2.54mm_Vertical,1,UART_TX,
J3,PinSocket_1x01_P2.54mm_Vertical,1,UART_RX,
J4,PinSocket_1x01_P2.54mm_Vertical,1,GND,
J5,PinSocket_1x01_P2.54mm_Vertical,1,3V3,
L1,L_Coilcraft_LPS3314,1,2.2uH,
R1,0603,1,1.8MΩ,
R2,0603,1,576kΩ,
"R3, R4, R5, R6",0603,4,100kΩ,
R7,0603,1,0,
"R8, R9",0603,2,10k,
"SW1, SW2, SW3, SW4, SW5",SW_SPST_Omron_B3FS-100xP,5,SW_Push,
U1,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm_ThermalVias,1,TPS62125DSG,
