Designator,Mid X,Mid Y,Rotation,Layer
A1,149.0,-46.915,0.0,top
BT1,153.5,-91.0,0.0,top
C1,115.325,-75.15,270.0,top
C2,124.875,-76.55,0.0,top
C3,165.735,-30.175,90.0,top
J1,122.5,-35.77,0.0,top
J2,119.5,-59.5,180.0,top
J3,119.363612,-66.046776,180.0,top
J4,108.0,-66.0,0.0,top
J5,108.0,-59.5,0.0,top
L1,122.405,-73.4,270.0,top
R1,121.625,-76.835,180.0,top
R2,118.6,-75.425,180.0,top
R3,101.5,-49.5,180.0,top
R4,169.188612,-69.746776,270.0,top
R5,174.275,-49.709276,270.0,top
R6,131.5,-49.175,270.0,top
R7,161.925,-29.21,270.0,top
R8,132.525,-22.86,0.0,top
R9,132.525,-26.035,0.0,top
SW1,181.238612,-66.696776,180.0,top
SW2,181.238612,-52.971776,0.0,top
SW3,166.25,-46.0,0.0,top
SW4,109.0,-49.5,0.0,top
SW5,123.0,-49.5,0.0,top
U1,118.5725,-73.4425,0.0,top
